2025-04-07 13:45:02,104 | 201 Created | Dados enviados com sucesso
2025-04-07 13:45:07,113 | 201 Created | Dados enviados com sucesso
2025-04-07 13:45:12,123 | 201 Created | Dados enviados com sucesso
2025-04-07 13:45:17,138 | 201 Created | Dados enviados com sucesso
2025-04-07 13:45:22,148 | 201 Created | Dados enviados com sucesso
2025-04-07 13:45:27,196 | 201 Created | Dados enviados com sucesso
2025-04-07 13:45:32,205 | 201 Created | Dados enviados com sucesso
2025-04-07 13:45:37,217 | 201 Created | Dados enviados com sucesso
2025-04-07 13:45:42,226 | 201 Created | Dados enviados com sucesso
2025-04-07 13:45:47,235 | 201 Created | Dados enviados com sucesso
2025-04-07 13:45:52,242 | 201 Created | Dados enviados com sucesso
2025-04-07 13:45:57,251 | 201 Created | Dados enviados com sucesso
2025-04-07 13:46:02,258 | 201 Created | Dados enviados com sucesso
2025-04-07 13:46:07,266 | 201 Created | Dados enviados com sucesso
2025-04-07 13:46:12,276 | 201 Created | Dados enviados com sucesso
2025-04-07 13:46:17,283 | 201 Created | Dados enviados com sucesso
2025-04-07 13:46:22,293 | 201 Created | Dados enviados com sucesso
2025-04-07 13:46:27,301 | 201 Created | Dados enviados com sucesso
2025-04-07 13:46:32,309 | 201 Created | Dados enviados com sucesso
2025-04-07 13:46:37,320 | 201 Created | Dados enviados com sucesso
2025-04-07 13:46:42,326 | 201 Created | Dados enviados com sucesso
2025-04-07 13:46:47,334 | 201 Created | Dados enviados com sucesso
2025-04-07 13:46:52,345 | 201 Created | Dados enviados com sucesso
2025-04-07 13:46:57,355 | 201 Created | Dados enviados com sucesso
2025-04-07 13:47:02,362 | 201 Created | Dados enviados com sucesso
